machine_id,timestamp,cpu_util_percent,mem_util_percent,disk_io_percent,net_in,net_out,col_7,col_8
m_1965,2025-07-18 18:16:38.678706,1,4,,,0.0,0.0,2
m_1965,2025-07-18 18:20:28.678706,1,4,,,0.0,0.0,0
m_1965,2025-07-18 18:20:48.678706,1,4,,,0.0,0.0,1
m_1965,2025-07-18 19:55:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:03:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:05:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:06:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:07:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:08:18.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:11:18.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:16:18.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:16:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:17:08.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:17:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:18:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:19:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:20:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:22:08.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:25:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:26:08.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:29:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:30:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:32:28.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:32:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:33:18.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:33:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:34:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:35:08.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:35:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:37:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:39:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:39:58.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:43:18.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:43:28.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:44:38.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:44:48.678706,0,1,,,0.0,0.0,0
m_1965,2025-07-18 20:47:38.678706,0,1,,,0.0,0.0,0
